Daily soil climate at site boone in year 1
,,,,Soil_temperature,,,,,,,Soil_moisture(wfps),,,,,,,Soil_oxygen(kg O2/layer),,,,,,Soil_Eh(mv),,,,,,WT(m), Ice(wfps),,,,,,Ice,Snowpack,SoilWater,DeepWater,Soil_pH,,,,,,SurfaceWaterT
 57, -10.50,   0.00,    0.3,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.40,   0.40,   0.46,   0.54,   0.61,   0.58,   0.41,   16.5,   15.2,   12.5,   10.3,   13.7,   19.0,  345.0,  317.1,  260.3,  215.9,  286.6,  397.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  91.48,   87.5,  51.79,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 58,  -8.50,   0.00,    0.4,    0.7,    0.7,    1.0,    1.6,    2.4,    2.9,    3.5,   0.37,   0.37,   0.41,   0.48,   0.55,   0.58,   0.51,   18.0,   16.9,   14.7,   12.3,   12.1,   16.1,  375.9,  354.1,  306.3,  256.8,  252.4,  335.6,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  91.09,   84.7,  53.70,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 59,  -5.00,   0.00,    0.4,    0.7,    0.7,    1.0,    1.6,    2.4,    2.9,    3.5,   0.34,   0.34,   0.38,   0.44,   0.51,   0.54,   0.55,   19.0,   18.2,   16.3,   13.9,   13.0,   13.9,  397.2,  379.9,  340.0,  291.5,  271.3,  290.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  90.74,   80.2,  56.98,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 60,  -3.25,   0.00,    0.4,    0.7,    0.7,    1.0,    1.6,    2.4,    2.9,    3.5,   0.32,   0.32,   0.35,   0.40,   0.47,   0.50,   0.52,   19.7,   19.1,   17.5,   15.3,   14.2,   13.7,  412.5,  398.6,  365.4,  320.6,  296.3,  285.6,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  90.31,   75.1,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 61,   1.50,  23.00,    0.3,    0.7,    0.7,    1.0,    1.6,    2.4,    2.9,    3.5,   0.64,   0.64,   0.73,   0.58,   0.46,   0.48,   0.49,    0.0,   14.4,   17.7,   16.4,   15.3,   14.5,    0.0,  300.3,  370.6,  343.7,  319.3,  303.4,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  89.99,   93.3,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 62,  -5.00,   0.00,    0.4,    0.7,    0.7,    1.0,    1.6,    2.4,    2.9,    3.5,   0.49,   0.49,   0.56,   0.62,   0.48,   0.47,   0.48,   11.1,    9.3,   10.5,   15.8,   15.8,   15.3,  231.7,  195.0,  218.7,  330.8,  330.7,  320.6,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  89.55,   89.1,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 63,  -8.75,   0.00,    0.4,    0.7,    0.7,    1.0,    1.6,    2.4,    2.9,    3.5,   0.42,   0.42,   0.47,   0.54,   0.54,   0.48,   0.48,   15.4,   14.0,   12.1,   14.4,   15.6,   15.7,  321.4,  293.1,  252.5,  301.3,  326.1,  327.4,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  89.17,   84.9,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 64,   0.75,   3.00,    0.4,    0.7,    0.7,    1.0,    1.6,    2.4,    2.9,    3.5,   0.41,   0.41,   0.46,   0.50,   0.53,   0.51,   0.48,    9.5,   14.3,   14.3,   13.6,   15.0,   15.6,  198.7,  297.9,  298.5,  284.1,  313.7,  326.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  88.80,   83.8,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 65,  -1.00,   7.00,    0.4,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.36,   0.36,   0.40,   0.46,   0.50,   0.51,   0.50,   17.7,   16.8,   15.4,   14.3,   14.4,   15.3,  370.6,  352.1,  321.1,  299.0,  301.2,  319.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  95.38,   79.6,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 66,  -9.00,   0.00,    0.4,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.34,   0.34,   0.37,   0.42,   0.47,   0.49,   0.50,   19.1,   18.4,   16.8,   15.3,   14.7,   14.9,  399.8,  384.4,  352.1,  319.4,  308.0,  311.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  94.98,   75.1,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 67,  -0.50,   0.00,    0.5,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.32,   0.32,   0.34,   0.39,   0.44,   0.47,   0.48,   19.9,   19.3,   18.0,   16.3,   15.5,   15.1,  416.6,  404.3,  376.0,  341.3,  323.9,  315.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  94.52,   70.7,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 68,   2.50,   0.00,    0.5,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.30,   0.30,   0.33,   0.36,   0.41,   0.44,   0.46,   20.5,   20.0,   18.9,   17.3,   16.3,   15.7,  427.9,  418.0,  394.0,  361.0,  341.0,  328.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  94.00,   66.7,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 69,  -5.25,   0.00,    0.3,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.29,   0.29,   0.31,   0.34,   0.39,   0.41,   0.43,   20.9,   20.5,   19.5,   18.1,   17.1,   16.5,  436.1,  428.0,  407.8,  377.9,  357.9,  344.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  93.66,   63.1,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 70,  -5.50,   0.00,    0.3,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.29,   0.29,   0.30,   0.33,   0.36,   0.39,   0.41,   21.2,   20.8,   20.0,   18.8,   17.9,   17.2,  442.2,  435.5,  418.6,  392.2,  373.5,  360.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  93.32,   60.0,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 71,   2.25,   0.00,    0.5,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.28,   0.28,   0.29,   0.31,   0.35,   0.37,   0.38,   21.4,   21.1,   20.4,   19.3,   18.5,   18.0,  446.9,  441.4,  427.2,  404.3,  387.5,  375.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  92.81,   57.4,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 72,   1.50,   6.00,    0.4,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.40,   0.40,   0.42,   0.33,   0.34,   0.35,   0.36,    0.0,   15.8,   20.1,   19.8,   19.1,   18.6,    0.0,  329.6,  419.5,  413.5,  399.7,  388.8,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  92.39,   61.1,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 73,  -5.00,   0.00,    0.3,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.33,   0.33,   0.35,   0.36,   0.34,   0.35,   0.35,   18.0,   17.6,   19.5,   19.9,   19.5,   19.2,  376.3,  368.6,  407.7,  416.4,  408.5,  400.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  92.06,   59.2,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 74,  -2.00,   0.00,    0.4,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.30,   0.30,   0.32,   0.34,   0.34,   0.34,   0.35,   20.0,   19.6,   19.2,   19.7,   19.7,   19.5,  418.6,  410.2,  401.8,  412.6,  411.0,  407.4,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  91.69,   57.4,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 75,   2.50,   0.00,    0.6,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.29,   0.29,   0.30,   0.32,   0.34,   0.34,   0.34,   20.8,   20.5,   20.0,   19.7,   19.7,   19.6,  435.7,  428.9,  417.2,  411.5,  410.9,  409.9,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  91.08,   55.7,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 76,   8.50,   0.00,    1.0,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.28,   0.28,   0.29,   0.31,   0.33,   0.33,   0.34,   21.3,   21.0,   20.5,   20.0,   19.8,   19.7,  444.8,  439.6,  428.6,  417.6,  413.3,  411.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  90.04,   54.0,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 77,   8.00,   0.00,    0.8,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.27,   0.27,   0.28,   0.30,   0.32,   0.33,   0.33,   21.6,   21.4,   20.9,   20.3,   20.0,   19.8,  450.5,  446.3,  436.7,  424.8,  418.4,  414.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  88.76,   52.5,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 78,   1.75,   0.00,    0.4,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.27,   0.27,   0.28,   0.29,   0.31,   0.32,   0.32,   21.7,   21.6,   21.2,   20.6,   20.3,   20.1,  454.4,  451.0,  442.8,  431.4,  424.3,  419.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  88.33,   51.1,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 79,  -0.50,   3.00,    0.4,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.27,   0.27,   0.27,   0.28,   0.30,   0.31,   0.31,   21.9,   21.7,   21.4,   20.9,   20.6,   20.3,  457.1,  454.4,  447.5,  437.2,  430.2,  425.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  90.91,   49.9,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 80,   8.25,  12.00,    0.7,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.51,   0.51,   0.55,   0.32,   0.30,   0.30,   0.31,    0.0,   16.1,   20.9,   21.1,   20.8,   20.6,    0.0,  337.3,  436.1,  441.1,  435.5,  430.9,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  88.73,   60.8,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 81,  10.00,   0.00,    0.7,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.39,   0.39,   0.43,   0.42,   0.30,   0.30,   0.30,   14.9,   14.2,   18.3,   20.9,   21.0,   20.8,  312.4,  296.2,  382.9,  437.5,  438.4,  435.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  83.07,   59.9,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 82,   7.00,   0.00,    0.6,    0.7,    0.7,    1.1,    1.6,    2.4,    2.9,    3.5,   0.34,   0.34,   0.37,   0.40,   0.34,   0.30,   0.30,   18.3,   17.6,   17.1,   20.2,   20.9,   20.9,  382.7,  368.2,  357.7,  422.2,  436.3,  437.6,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  80.92,   59.0,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 83,   5.25,   0.00,    0.7,    0.7,    0.7,    1.0,    1.6,    2.4,    2.9,    3.5,   0.32,   0.32,   0.34,   0.37,   0.37,   0.33,   0.30,   19.7,   19.2,   18.3,   19.1,   20.5,   20.9,  412.6,  401.4,  383.0,  398.2,  427.9,  436.5,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  80.27,   58.1,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 84,   7.25,   0.00,    0.8,    0.7,    0.7,    1.0,    1.6,    2.4,    2.9,    3.5,   0.30,   0.30,   0.32,   0.34,   0.36,   0.35,   0.32,   20.5,   20.1,   19.3,   18.8,   19.7,   20.6,  429.0,  420.3,  403.5,  392.6,  412.4,  431.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  79.00,   57.1,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 85,  10.25,   4.00,    0.9,    0.7,    0.7,    1.0,    1.6,    2.4,    2.9,    3.5,   0.36,   0.36,   0.38,   0.35,   0.35,   0.35,   0.34,   10.0,   17.7,   19.6,   19.3,   19.3,   20.1,  208.4,  369.5,  409.9,  403.2,  403.3,  420.9,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  75.60,   59.9,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 86,   9.75,   6.00,    0.9,    0.7,    0.7,    1.0,    1.6,    2.3,    2.9,    3.5,   0.44,   0.44,   0.47,   0.38,   0.35,   0.35,   0.35,    0.0,   13.8,   18.7,   19.5,   19.4,   19.7,    0.0,  288.6,  391.7,  407.1,  406.1,  411.6,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  72.24,   64.4,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 87,   8.00,   0.00,    1.1,    0.6,    0.6,    1.0,    1.6,    2.3,    2.9,    3.5,   0.36,   0.36,   0.39,   0.41,   0.36,   0.35,   0.35,   17.0,   16.4,   17.8,   19.4,   19.5,   19.5,  355.5,  343.5,  373.0,  404.5,  407.0,  408.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  71.16,   62.7,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 88,  12.50,  17.00,    1.0,    0.6,    0.6,    1.0,    1.6,    2.3,    2.9,    3.5,   0.61,   0.61,   0.67,   0.50,   0.38,   0.35,   0.35,    0.0,   13.6,   17.4,   18.9,   19.4,   19.5,    0.0,  285.2,  363.2,  395.1,  405.3,  407.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  64.67,   78.0,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 89,   9.00,  36.00,    0.9,    0.6,    0.6,    1.0,    1.6,    2.3,    2.9,    3.5,   0.68,   0.68,   0.81,   0.91,   0.74,   0.39,   0.35,    0.0,    7.0,   12.5,   17.9,   19.1,   19.4,    0.0,  145.3,  262.1,  373.7,  398.3,  405.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  61.32,  112.2,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 90,   1.50,   8.00,    0.4,    0.6,    0.6,    1.0,    1.6,    2.3,    2.9,    3.5,   0.64,   0.64,   0.75,   0.86,   0.88,   0.57,   0.38,    0.0,    3.9,    3.4,    5.1,   15.4,   18.8,    0.0,   81.2,   71.1,  105.9,  321.0,  392.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  60.91,  118.3,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 91,   0.25,   1.00,    0.6,    0.5,    0.5,    1.0,    1.5,    2.3,    2.9,    3.5,   0.53,   0.53,   0.63,   0.75,   0.83,   0.75,   0.49,    9.0,    8.2,    5.3,    3.6,    9.8,   16.7,  187.1,  170.6,  109.9,   75.5,  204.7,  348.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  60.32,  116.6,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 92,   3.50,   4.00,    0.5,    0.5,    0.5,    0.9,    1.5,    2.3,    2.9,    3.5,   0.51,   0.51,   0.59,   0.69,   0.77,   0.79,   0.64,    3.5,    9.3,    8.4,    5.7,    6.4,   12.8,   73.4,  194.7,  175.2,  118.3,  134.5,  267.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  59.78,  116.2,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 93,   3.75,   3.00,    0.4,    0.5,    0.5,    0.9,    1.5,    2.3,    2.9,    3.5,   0.48,   0.48,   0.55,   0.64,   0.71,   0.74,   0.73,    6.9,   11.0,   10.1,    7.6,    6.7,    9.3,  144.2,  229.8,  210.6,  159.0,  139.5,  193.4,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  57.90,  112.3,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 94,   0.50,   8.00,    0.3,    0.5,    0.5,    0.9,    1.5,    2.3,    2.9,    3.5,   0.53,   0.53,   0.59,   0.64,   0.68,   0.71,   0.72,    0.0,   10.2,   11.3,    9.2,    8.0,    7.9,    0.0,  212.4,  236.2,  191.7,  167.5,  165.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  57.55,  111.9,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 95,  -1.00,   9.00,    0.3,    0.5,    0.5,    0.9,    1.5,    2.3,    2.9,    3.5,   0.43,   0.43,   0.50,   0.58,   0.65,   0.68,   0.70,   14.3,   13.0,   11.4,   10.0,    9.1,    8.5,  298.8,  272.2,  237.5,  209.4,  190.0,  177.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  66.27,  103.5,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 96,   1.00,   0.00,    0.5,    0.5,    0.5,    0.9,    1.5,    2.3,    2.9,    3.5,   0.39,   0.39,   0.44,   0.52,   0.60,   0.64,   0.67,   17.0,   15.9,   13.5,   11.1,    9.9,    9.2,  356.3,  331.8,  282.5,  232.1,  207.8,  193.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  65.82,   95.5,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 97,  -0.25,   0.00,    0.4,    0.5,    0.5,    0.9,    1.5,    2.3,    2.9,    3.5,   0.36,   0.36,   0.40,   0.47,   0.55,   0.60,   0.63,   18.4,   17.5,   15.3,   12.6,   11.1,   10.2,  385.0,  365.2,  320.2,  264.0,  232.6,  213.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  65.37,   88.2,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 98,   0.00,   5.00,    0.3,    0.5,    0.5,    0.9,    1.5,    2.3,    2.9,    3.4,   0.34,   0.34,   0.37,   0.43,   0.51,   0.56,   0.59,   19.3,   18.5,   16.7,   14.1,   12.5,   11.4,  403.5,  387.5,  348.9,  294.8,  260.8,  238.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  70.06,   81.6,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
 99,   0.75,   2.00,    0.3,    0.5,    0.5,    0.9,    1.5,    2.3,    2.9,    3.4,   0.35,   0.35,   0.38,   0.42,   0.47,   0.52,   0.55,   14.5,   17.8,   17.5,   15.4,   13.8,   12.7,  303.6,  371.9,  366.8,  321.6,  288.5,  265.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  69.74,   77.7,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
100,   2.50,   0.00,    0.6,    0.6,    0.6,    0.9,    1.5,    2.3,    2.9,    3.4,   0.32,   0.32,   0.35,   0.39,   0.45,   0.48,   0.51,   19.6,   19.1,   17.9,   16.2,   14.9,   13.9,  410.2,  398.5,  374.5,  339.6,  312.4,  291.5,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  69.10,   72.6,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
101,   3.00,  28.00,    0.5,    0.6,    0.6,    0.9,    1.5,    2.3,    2.9,    3.4,   0.66,   0.66,   0.76,   0.69,   0.45,   0.46,   0.48,    0.0,   14.5,   18.0,   17.0,   15.9,   15.0,    0.0,  302.6,  376.9,  355.4,  331.9,  314.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  68.59,   96.2,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
102,   8.00,  19.00,    0.7,    0.6,    0.6,    0.9,    1.5,    2.3,    2.9,    3.4,   0.65,   0.65,   0.77,   0.88,   0.60,   0.47,   0.46,    0.0,    4.4,    7.3,   15.6,   16.2,   15.8,    0.0,   91.8,  153.3,  326.6,  338.3,  331.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  65.34,  111.2,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
103,   9.25,   0.00,    1.0,    0.6,    0.6,    0.9,    1.5,    2.3,    2.8,    3.4,   0.53,   0.53,   0.63,   0.74,   0.77,   0.54,   0.47,   10.6,    8.3,    4.7,    8.8,   14.7,   15.9,  221.5,  174.0,   99.2,  182.9,  307.9,  331.7,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  60.87,  107.3,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
104,   6.25,   0.00,    1.1,    0.6,    0.6,    0.9,    1.5,    2.3,    2.8,    3.4,   0.46,   0.46,   0.53,   0.64,   0.72,   0.66,   0.51,   14.2,   12.4,    8.9,    6.9,   11.7,   15.1,  297.1,  259.4,  186.8,  144.9,  243.9,  316.0,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  59.75,  103.2,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
105,  16.50,   0.00,    1.9,    0.6,    0.6,    0.9,    1.5,    2.3,    2.8,    3.4,   0.41,   0.41,   0.47,   0.56,   0.65,   0.67,   0.59,   16.4,   15.0,   12.0,    9.1,    9.4,   13.2,  342.1,  312.8,  250.2,  190.2,  196.9,  276.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  50.83,   98.3,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
106,  17.75,   0.00,    2.4,    0.6,    0.6,    1.0,    1.5,    2.3,    2.8,    3.4,   0.37,   0.37,   0.42,   0.50,   0.59,   0.63,   0.64,   17.8,   16.7,   14.2,   11.2,   10.1,   11.3,  372.2,  349.1,  296.5,  235.1,  211.5,  235.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  41.42,   92.1,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
107,   3.75,   0.00,    1.0,    0.5,    0.5,    0.9,    1.5,    2.3,    2.8,    3.4,   0.35,   0.35,   0.39,   0.45,   0.54,   0.58,   0.61,   18.8,   17.9,   15.8,   13.1,   11.6,   11.0,  393.4,  374.9,  330.9,  273.1,  242.8,  229.8,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  40.44,   85.4,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
108,   1.75,   0.00,    0.9,    0.4,    0.4,    0.9,    1.5,    2.3,    2.8,    3.4,   0.33,   0.33,   0.36,   0.42,   0.49,   0.54,   0.57,   19.6,   18.8,   17.1,   14.6,   13.0,   12.0,  408.8,  393.9,  357.2,  304.7,  272.3,  251.8,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  39.51,   79.2,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
109,   5.50,   0.00,    1.2,    0.4,    0.4,    0.8,    1.4,    2.2,    2.8,    3.4,   0.31,   0.31,   0.34,   0.39,   0.45,   0.50,   0.53,   20.1,   19.5,   18.1,   15.8,   14.3,   13.3,  420.4,  408.2,  377.5,  330.9,  299.2,  277.1,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  38.32,   73.7,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
110,   7.50,   0.00,    1.5,    0.4,    0.4,    0.8,    1.4,    2.2,    2.8,    3.4,   0.30,   0.30,   0.33,   0.36,   0.42,   0.46,   0.49,   20.5,   20.1,   18.8,   16.9,   15.5,   14.5,  429.3,  419.3,  393.5,  352.8,  323.7,  302.5,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  36.37,   68.9,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
111,   9.50,   0.00,    1.8,    0.5,    0.5,    0.8,    1.4,    2.2,    2.8,    3.4,   0.29,   0.29,   0.31,   0.35,   0.40,   0.43,   0.45,   20.9,   20.5,   19.4,   17.8,   16.5,   15.6,  436.3,  428.0,  406.4,  371.2,  345.3,  326.2,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  33.11,   64.9,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
112,   8.75,   9.00,    1.0,    0.4,    0.4,    0.8,    1.4,    2.2,    2.8,    3.4,   0.47,   0.47,   0.50,   0.37,   0.38,   0.41,   0.42,    0.0,   15.2,   19.2,   18.5,   17.4,   16.6,    0.0,  318.7,  402.1,  385.8,  364.1,  347.3,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  27.14,   70.4,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
113,   7.75,   9.00,    0.8,    0.4,    0.4,    0.8,    1.4,    2.2,    2.8,    3.4,   0.53,   0.53,   0.58,   0.46,   0.39,   0.39,   0.40,    0.0,   11.2,   17.3,   18.6,   18.0,   17.5,    0.0,  233.5,  362.5,  388.1,  377.1,  364.9,-9.9900,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  21.32,   76.4,  57.03,   5.90,   5.90,   5.90,   5.90,   5.90,   5.90,   0.00
