Daily climate at site test_site in year 1
Day,Temp.(C),Prec.(mm),WindSpeed(m/s),Radiation(MJ/m2/d),Humidity(),PET(mm),Actual_ET(mm),Evaporation(mm),Transpiration(mm)
 287,    6.40,    0.00,    2.00,   16.10,   60.00,    1.73,    0.83,    0.83,    0.00
 288,    6.40,    0.00,    2.00,   15.92,   60.00,    1.78,    0.73,    0.73,    0.00
 289,    6.65,    0.00,    2.00,   15.74,   60.00,    1.83,    0.64,    0.64,    0.00
 290,    6.95,    0.00,    2.00,   15.56,   60.00,    1.90,    0.58,    0.58,    0.00
 291,    7.40,    0.00,    2.00,   15.38,   60.00,    1.95,    0.52,    0.52,    0.00
 292,    8.90,    0.00,    2.00,   15.20,   60.00,    2.01,    0.48,    0.48,    0.00
 293,    4.90,    0.00,    2.00,   15.02,   60.00,    1.63,    0.34,    0.34,    0.00
 294,    2.40,    0.00,    2.00,   14.84,   60.00,    1.43,    0.27,    0.27,    0.00
 295,    0.90,    0.00,    2.00,   14.67,   60.00,    1.35,    0.23,    0.23,    0.00
 296,    9.40,    6.30,    2.00,    6.04,   60.00,    1.03,    0.53,    0.53,    0.00
 297,    9.90,    2.30,    2.00,   10.40,   60.00,    1.32,    0.72,    0.72,    0.00
 298,    6.40,    0.00,    2.00,   14.15,   60.00,    1.44,    0.75,    0.75,    0.00
 299,    1.40,   11.20,    2.00,    2.95,   60.00,    0.45,    0.24,    0.24,    0.00
 300,   -3.10,    0.00,    2.00,   13.81,   60.00,    0.96,    0.53,    0.53,    0.00
 301,    2.40,    0.00,    2.00,   13.64,   60.00,    1.41,    0.71,    0.71,    0.00
 302,    5.40,    0.00,    2.00,   13.48,   60.00,    1.66,    0.73,    0.73,    0.00
 303,    6.40,    0.00,    2.00,   13.31,   60.00,    1.56,    0.58,    0.58,    0.00
 304,   13.90,    0.00,    2.00,   13.15,   60.00,    1.90,    0.61,    0.61,    0.00
 305,    7.40,    0.00,    2.00,   12.99,   60.00,    1.45,    0.39,    0.39,    0.00
 306,    2.40,    0.30,    2.00,   12.31,   60.00,    1.10,    0.29,    0.29,    0.00
 307,    1.40,    0.00,    2.00,   12.68,   60.00,    1.06,    0.25,    0.25,    0.00
 308,    0.90,    0.00,    2.00,   12.52,   60.00,    1.02,    0.21,    0.21,    0.00
 309,    2.40,    0.30,    2.00,   11.86,   60.00,    1.05,    0.22,    0.22,    0.00
 310,    4.90,    0.30,    2.00,   11.72,   60.00,    1.17,    0.25,    0.25,    0.00
 311,    5.90,    0.00,    2.00,   12.07,   60.00,    1.25,    0.24,    0.24,    0.00
 312,    5.90,    0.00,    2.00,   11.93,   60.00,    1.22,    0.21,    0.21,    0.00
 313,    4.40,    0.00,    2.00,   11.78,   60.00,    1.14,    0.18,    0.18,    0.00
 314,    0.90,    0.00,    2.00,   11.64,   60.00,    0.99,    0.14,    0.14,    0.00
 315,   -2.60,    0.00,    2.00,   11.51,   60.00,    0.87,    0.11,    0.11,    0.00
 316,   -2.60,    0.00,    2.00,   11.37,   60.00,    0.86,    0.10,    0.10,    0.00
 317,   -0.10,    0.00,    2.00,   11.24,   60.00,    0.89,    0.10,    0.10,    0.00
 318,    0.40,    0.00,    2.00,   11.11,   60.00,    0.95,    0.11,    0.11,    0.00
 319,   -3.10,    0.00,    2.00,   10.98,   60.00,    0.78,    0.07,    0.07,    0.00
 320,   -6.60,    0.00,    2.00,   10.85,   60.00,    0.65,    0.00,    0.00,    0.00
 321,    0.40,    0.00,    2.00,   10.73,   60.00,    1.10,    0.00,    0.00,    0.00
 322,    0.90,    0.00,    2.00,   10.61,   60.00,    1.04,    0.11,    0.11,    0.00
 323,    2.80,    0.00,    2.00,   10.50,   60.00,    1.13,    0.11,    0.11,    0.00
 324,    4.40,    0.00,    2.00,   10.38,   60.00,    1.16,    0.10,    0.10,    0.00
 325,   -0.60,    0.00,    2.00,   10.27,   60.00,    0.92,    0.07,    0.07,    0.00
 326,   -2.60,    0.00,    2.00,   10.16,   60.00,    0.80,    0.05,    0.05,    0.00
 327,   -1.60,    0.00,    2.00,   10.06,   60.00,    0.87,    0.05,    0.05,    0.00
 328,   -3.10,    0.00,    2.00,    9.96,   60.00,    0.87,    0.05,    0.05,    0.00
 329,    5.90,    0.00,    2.00,    9.86,   60.00,    1.54,    0.12,    0.12,    0.00
 330,    1.90,    0.00,    2.00,    9.76,   60.00,    1.15,    0.07,    0.07,    0.00
 331,    2.40,    0.00,    2.00,    9.67,   60.00,    1.13,    0.06,    0.06,    0.00
 332,   10.40,    0.00,    2.00,    9.58,   60.00,    1.28,    0.07,    0.07,    0.00
 333,    7.40,    0.30,    2.00,    9.11,   60.00,    1.07,    0.08,    0.08,    0.00
 334,    3.90,    0.00,    2.00,    9.42,   60.00,    0.95,    0.06,    0.06,    0.00
 335,    2.40,    0.00,    2.00,    9.34,   60.00,    0.87,    0.04,    0.04,    0.00
 336,    2.90,    0.00,    2.00,    9.26,   60.00,    0.88,    0.04,    0.04,    0.00
 337,    0.40,    4.10,    2.00,    5.20,   60.00,    0.55,    0.19,    0.19,    0.00
 338,   -2.60,    0.00,    2.00,    9.12,   60.00,    0.67,    0.23,    0.23,    0.00
 339,   -5.60,    0.00,    2.00,    9.06,   60.00,    0.59,    0.00,    0.00,    0.00
 340,   -3.10,    0.00,    2.00,    8.99,   60.00,    0.64,    0.00,    0.00,    0.00
 341,   -3.60,    0.00,    2.00,    8.94,   60.00,    0.62,    0.00,    0.00,    0.00
 342,   -2.10,    0.00,    2.00,    8.88,   60.00,    0.67,    0.00,    0.00,    0.00
 343,   -1.60,    0.30,    2.00,    8.47,   60.00,    0.67,    0.30,    0.30,    0.00
 344,    0.90,    0.00,    2.00,    8.78,   60.00,    0.77,    0.00,    0.00,    0.00
 345,   -0.10,    0.00,    2.00,    8.74,   60.00,    0.75,    0.00,    0.00,    0.00
 346,   -4.60,    0.00,    2.00,    8.70,   60.00,    0.60,    0.00,    0.00,    0.00
 347,   -3.60,    0.00,    2.00,    8.66,   60.00,    0.68,    0.00,    0.00,    0.00
 348,   -4.60,    0.00,    2.00,    8.63,   60.00,    0.68,    0.00,    0.00,    0.00
 349,   -1.10,    0.00,    2.00,    8.60,   60.00,    0.88,    0.00,    0.00,    0.00
 350,    0.40,    0.00,    2.00,    8.58,   60.00,    0.86,    0.25,    0.25,    0.00
 351,   -2.10,    0.00,    2.00,    8.56,   60.00,    0.79,    0.20,    0.20,    0.00
 352,   -0.10,    0.00,    2.00,    8.54,   60.00,    0.82,    0.19,    0.19,    0.00
 353,    1.90,    0.00,    2.00,    8.52,   60.00,    0.94,    0.20,    0.20,    0.00
 354,   -3.60,    0.00,    2.00,    8.51,   60.00,    0.67,    0.12,    0.12,    0.00
 355,   -3.10,    0.00,    2.00,    8.51,   60.00,    0.67,    0.11,    0.11,    0.00
 356,    0.40,    0.00,    2.00,    8.50,   60.00,    0.73,    0.11,    0.11,    0.00
 357,   -1.10,    0.00,    2.00,    8.50,   60.00,    0.68,    0.00,    0.00,    0.00
 358,   -1.10,    3.60,    2.00,    5.16,   60.00,    0.48,    0.48,    0.48,    0.00
 359,   -3.10,    0.00,    2.00,    8.52,   60.00,    0.60,    0.60,    0.60,    0.00
 360,   -3.60,    0.00,    2.00,    8.53,   60.00,    0.63,    0.63,    0.63,    0.00
 361,  -11.10,    0.00,    2.00,    8.54,   60.00,    0.48,    0.48,    0.48,    0.00
 362,   -2.60,    0.00,    2.00,    8.56,   60.00,    0.67,    0.67,    0.67,    0.00
 363,   -7.10,    0.00,    2.00,    8.59,   60.00,    0.61,    0.61,    0.61,    0.00
 364,   -8.60,    0.50,    2.00,    8.03,   60.00,    0.52,    0.52,    0.52,    0.00
 365,  -11.10,    0.00,    2.00,    8.64,   60.00,    0.42,    0.10,    0.10,    0.00
