Daily manure biogeochemistry in feedlot at FarmTest1 in year 1
Units: per feedlot

Day,AnimalType,Heads,Milk,MeatGain,FecesC,UrineC,BeddingC,Floor-CO2,Gutter-CO2,Floor-CH4,Gutter-CH4,Floor-MOC,Gutter-MOC,Floor-DOC,Gutter-DOC,Removed_FloorC,Removed_GutterC,Feedlot_RunoffC,FecesN,UrineN,BeddingN,Floor-NH3,Gutter-NH3,Floor-N2O,Gutter-N2O,Floor-MON,Gutter-MON,Floor-urea,Gutter-urea,Floor-NH4,Gutter-NH4,Floor-NO3,Gutter-NO3,Removed_FloorN,Removed_GutterN,Feedlot_Runoff_ON,Feedlot_Runoff_IN,FecesP,UrineP,ManureP,Removed_FloorP,Removed_GutterP,Feedlot_runoff_P,FecesH2O,UrineH2O,HouseEV,Floor-water,Gutter-water,Removed_FloorH2O,Removed_GutterH2O,Floor_runoffH2O,Floor-temp,Gutter-temp,Floor_mois,Gutter-mois, Pen_soil_wfps,Floor-pH,Gutter-pH,Floor-Eh,Gutter-Eh,floor-leach-water,floor-leach-urea,floor-leach-NH4,floor-leach-NO3,floor-leach-DOC
   ,          ,     ,kg  ,kg DM   ,kgC   ,kgC   ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC      ,kgC,kgC         ,kgC        ,kgN   ,kgN   ,kgN     ,kgN     ,kgN     ,kgN      ,kgN      ,kgN       ,kgN     ,kgN      ,kgN      ,kgN      ,kgN         ,kgN          ,kgN      ,kgN, kgN,kgN         ,kgN     ,kgP   ,kgP   ,kgP    ,kgP ,kgP ,kgP  ,kgWater ,kgWater ,kgWater,kgWater       ,kgWater      ,kgWater,kgWater,kgWater,,          ,WFPS,WFPS,WFPS,    ,,,,kgWater,kgN,kgN,kgN,kgC

185,  0,   0.00,   0.00,   0.00, 647.60, 293.41,   0.00,   5.22,   3.59,   0.00,  41.54,   0.00,   0.00,   0.00,   0.00,-571.61,-271.59,   0.00,  23.10,  69.20,   0.00,   5.34,   0.85, 0.0023, 0.0208,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.96, -58.92,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3653.58,14614.32, 133.44,   0.00,   0.00,-597.28,-17537.18,   0.00,  19.44,  29.44,   0.48,   1.00,   0.30,   9.83,   9.98, 259.75,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
186,  0,   0.00,   0.00,   0.00, 648.68, 298.50,   0.00,   5.22,   3.42,   0.00,  36.07,   0.00,   0.00,   0.00,   0.00,-573.43,-287.48,   0.00,  23.50,  70.40,   0.00,   6.83,   0.84, 0.0019, 0.0202,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.03, -59.98,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3659.66,14638.64, 658.74,   0.00,   0.00, -73.19,-17566.37,   0.00,  18.75,  28.75,   0.06,   1.00,   0.30,  10.77,  10.00, 470.65,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
187,  0,   0.00,   0.00,   0.00, 648.12, 294.68,   0.00,   5.19,   3.52,   0.00,  39.24,   0.00,   0.00,   0.00,   0.00,-572.25,-277.58,   0.00,  23.20,  69.50,   0.00,   6.89,   0.84, 0.0019, 0.0205,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.55, -59.19,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3656.38,14625.52, 658.15,   0.00,   0.00, -73.13,-17550.63,   0.00,  19.17,  29.17,   0.06,   1.00,   0.30,  10.75,   9.99, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
188,  0,   0.00,   0.00,   0.00, 647.56, 291.29,   0.00,   5.27,   3.79,   0.00,  49.20,   0.00,   0.00,   0.00,   0.00,-571.04,-253.76,   0.00,  22.90,  68.70,   0.00,   7.20,   0.87, 0.0020, 0.0217,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.84, -58.45,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3653.30,14613.20, 657.59,   0.00,   0.00, -73.07,-17535.84,   0.00,  20.28,  30.28,   0.06,   1.00,   0.30,  10.72,   9.95, 470.59,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
189,  0,   0.00,   0.00,   0.00, 648.68, 295.95,   0.00,   5.70,   4.29,   0.00,  78.86,   0.00,   0.00,   0.00,   0.00,-572.44,-195.81,   0.00,  23.30,  69.80,   0.00,   8.17,   0.97, 0.0021, 0.0252,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.41, -59.28,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3659.56,14638.24, 658.72,   0.00,   0.00, -73.19,-17565.89,   0.00,  22.64,  32.64,   0.06,   1.00,   0.30,  10.66,   9.89, 470.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
190,  0,   0.00,   0.00,   0.00, 647.64, 292.14,   0.00,   5.67,   4.37,   0.00,  85.48,   0.00,   0.00,   0.00,   0.00,-570.88,-178.82,   0.00,  23.00,  68.90,   0.00,   8.20,   0.96, 0.0021, 0.0254,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -23.96, -58.50,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3653.72,14614.88, 657.67,   0.00,   0.00, -73.07,-17537.86,   0.00,  23.06,  33.06,   0.06,   1.00,   0.30,  10.64,   9.87, 470.59,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
191,  0,   0.00,   0.00,   0.00, 646.32, 287.90,   0.00,   5.34,   4.04,   0.00,  61.38,   0.00,   0.00,   0.00,   0.00,-569.30,-225.29,   0.00,  22.60,  67.90,   0.00,   7.50,   0.89, 0.0020, 0.0229,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.14, -57.72,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3646.38,14585.52, 656.35,   0.00,   0.00, -72.93,-17502.63,   0.00,  21.39,  31.39,   0.06,   1.00,   0.30,  10.68,   9.91, 470.56,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
192,  0,   0.00,   0.00,   0.00, 641.80, 290.44,   0.00,   5.16,   3.63,   0.00,  42.72,   0.00,   0.00,   0.00,   0.00,-566.38,-265.58,   0.00,  22.80,  68.50,   0.00,   6.93,   0.84, 0.0019, 0.0207,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.99, -58.31,   0.00,   0.00,   2.96,   0.09,   0.00,  -3.05,   0.00,   0.00,3620.90,14483.60, 651.76,   0.00,   0.00, -72.42,-17380.32,   0.00,  19.58,  29.58,   0.06,   1.00,   0.30,  10.74,   9.97, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
193,  0,   0.00,   0.00,   0.00, 649.52, 298.07,   0.00,   5.20,   3.42,   0.00,  36.06,   0.00,   0.00,   0.00,   0.00,-574.03,-287.32,   0.00,  23.40,  70.30,   0.00,   6.82,   0.84, 0.0019, 0.0202,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.94, -59.88,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3664.42,14657.68, 659.60,   0.00,   0.00, -73.29,-17589.21,   0.00,  18.75,  28.75,   0.06,   1.00,   0.30,  10.77,  10.00, 470.65,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
194,  0,   0.00,   0.00,   0.00, 649.04, 294.68,   0.00,   5.50,   4.04,   0.00,  61.55,   0.00,   0.00,   0.00,   0.00,-572.67,-230.92,   0.00,  23.20,  69.50,   0.00,   7.68,   0.92, 0.0021, 0.0234,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.75, -59.09,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3661.72,14646.88, 659.11,   0.00,   0.00, -73.23,-17576.26,   0.00,  21.39,  31.39,   0.06,   1.00,   0.30,  10.69,   9.92, 470.61,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
195,  0,   0.00,   0.00,   0.00, 648.52, 291.29,   0.00,   5.42,   4.01,   0.00,  59.80,   0.00,   0.00,   0.00,   0.00,-571.72,-231.75,   0.00,  22.90,  68.70,   0.00,   5.43,   0.90, 0.0026, 0.0230,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.60, -58.41,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3658.62,14634.48,   0.00,   0.00,   0.00,-731.72,-17561.38,   0.00,  21.25,  31.25,   0.59,   1.00,   0.30,   9.69,   9.92, 205.83,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
196,  0,   0.00,   0.00,   0.00, 649.60, 295.95,   0.00,   5.42,   3.86,   0.00,  52.07,   0.00,   0.00,   0.00,   0.00,-573.46,-251.88,   0.00,  23.30,  69.80,   0.00,   7.42,   0.89, 0.0020, 0.0224,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.16, -59.38,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3664.86,14659.44, 659.67,   0.00,   0.00, -73.30,-17591.33,   0.00,  20.56,  30.56,   0.06,   1.00,   0.30,  10.72,   9.95, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
197,  0,   0.00,   0.00,   0.00, 648.96, 292.14,   0.00,   5.25,   3.73,   0.00,  46.50,   0.00,   0.00,   0.00,   0.00,-572.35,-260.40,   0.00,  23.00,  68.90,   0.00,   7.12,   0.86, 0.0020, 0.0214,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.04, -58.64,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3661.18,14644.72, 659.01,   0.00,   0.00, -73.22,-17573.66,   0.00,  20.00,  30.00,   0.06,   1.00,   0.30,  10.73,   9.96, 470.59,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
198,  0,   0.00,   0.00,   0.00, 642.92, 294.26,   0.00,   5.45,   3.98,   0.00,  58.25,   0.00,   0.00,   0.00,   0.00,-567.74,-236.25,   0.00,  23.10,  69.40,   0.00,   7.58,   0.91, 0.0021, 0.0230,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.76, -59.00,   0.00,   0.00,   2.96,   0.09,   0.00,  -3.05,   0.00,   0.00,3627.04,14508.16, 652.87,   0.00,   0.00, -72.54,-17409.79,   0.00,  21.11,  31.11,   0.06,   1.00,   0.30,  10.70,   9.93, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
199,  0,   0.00,   0.00,   0.00, 642.40, 290.86,   0.00,   5.45,   4.10,   0.00,  64.95,   0.00,   0.00,   0.00,   0.00,-566.65,-219.44,   0.00,  22.90,  68.60,   0.00,   7.68,   0.91, 0.0021, 0.0235,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.34, -58.31,   0.00,   0.00,   2.96,   0.09,   0.00,  -3.05,   0.00,   0.00,3624.10,14496.40, 652.34,   0.00,   0.00, -72.48,-17395.68,   0.00,  21.67,  31.67,   0.06,   1.00,   0.30,  10.68,   9.91, 470.61,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
200,  0,   0.00,   0.00,   0.00, 650.56, 298.92,   0.00,   5.83,   4.37,   0.00,  85.61,   0.00,   0.00,   0.00,   0.00,-574.41,-184.55,   0.00,  23.50,  70.50,   0.00,   8.40,   0.99, 0.0022, 0.0260,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.48, -59.85,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3670.14,14680.56, 660.63,   0.00,   0.00, -73.40,-17616.67,   0.00,  23.06,  33.06,   0.06,   1.00,   0.30,  10.65,   9.88, 470.65,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
201,  0,   0.00,   0.00,   0.00, 650.12, 295.53,   0.00,   5.69,   4.29,   0.00,  78.86,   0.00,   0.00,   0.00,   0.00,-573.52,-195.77,   0.00,  23.20,  69.70,   0.00,   8.15,   0.96, 0.0021, 0.0252,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.32, -59.18,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3667.68,14670.72, 660.18,   0.00,   0.00, -73.35,-17604.87,   0.00,  22.64,  32.64,   0.06,   1.00,   0.30,  10.66,   9.89, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
202,  0,   0.00,   0.00,   0.00, 649.44, 291.29,   0.00,   5.59,   4.27,   0.00,  76.63,   0.00,   0.00,   0.00,   0.00,-572.29,-196.86,   0.00,  22.90,  68.70,   0.00,   5.73,   0.94, 0.0028, 0.0246,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.30, -58.35,   0.00,   0.00,   2.99,   0.09,   0.00,  -3.08,   0.00,   0.00,3663.92,14655.68,   0.00,   0.00,   0.00,-732.78,-17586.82,   0.00,  22.50,  32.50,   0.59,   1.00,   0.30,   9.66,   9.89, 205.78,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
203,  0,   0.00,   0.00,   0.00, 650.52, 296.38,   0.00,   5.50,   3.98,   0.00,  58.22,   0.00,   0.00,   0.00,   0.00,-574.20,-239.53,   0.00,  23.30,  69.90,   0.00,   7.63,   0.92, 0.0021, 0.0232,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.97, -59.43,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3670.12,14680.48, 660.62,   0.00,   0.00, -73.40,-17616.58,   0.00,  21.11,  31.11,   0.06,   1.00,   0.30,  10.70,   9.93, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
204,  0,   0.00,   0.00,   0.00, 643.88, 290.44,   0.00,   5.27,   3.82,   0.00,  50.55,   0.00,   0.00,   0.00,   0.00,-567.93,-249.51,   0.00,  22.80,  68.50,   0.00,   7.23,   0.87, 0.0020, 0.0218,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.69, -58.27,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3632.44,14529.76, 653.84,   0.00,   0.00, -72.65,-17435.71,   0.00,  20.42,  30.42,   0.06,   1.00,   0.30,  10.71,   9.94, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
205,  0,   0.00,   0.00,   0.00, 644.48, 295.10,   0.00,   5.39,   3.83,   0.00,  50.61,   0.00,   0.00,   0.00,   0.00,-569.28,-253.24,   0.00,  23.20,  69.60,   0.00,   5.32,   0.89, 0.0025, 0.0222,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.13, -59.21,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3635.88,14543.52,   0.00,   0.00,   0.00,-727.18,-17452.22,   0.00,  20.42,  30.42,   0.59,   1.00,   0.30,   9.72,   9.95, 206.40,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
206,  0,   0.00,   0.00,   0.00, 643.96, 291.71,   0.00,   5.26,   3.73,   0.00,  46.50,   0.00,   0.00,   0.00,   0.00,-568.32,-259.07,   0.00,  22.90,  68.80,   0.00,   5.14,   0.86, 0.0024, 0.0214,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.92, -58.54,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3632.98,14531.92,   0.00,   0.00,   0.00,-726.60,-17438.30,   0.00,  20.00,  30.00,   0.59,   1.00,   0.30,   9.73,   9.96, 206.07,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
207,  0,   0.00,   0.00,   0.00, 651.68, 299.34,   0.00,   5.63,   4.07,   0.00,  63.36,   0.00,   0.00,   0.00,   0.00,-575.60,-231.40,   0.00,  23.50,  70.60,   0.00,   7.86,   0.94, 0.0021, 0.0240,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.04, -60.00,   0.00,   0.00,   3.01,   0.09,   0.00,  -3.10,   0.00,   0.00,3676.58,14706.32, 661.78,   0.00,   0.00, -73.53,-17647.58,   0.00,  21.53,  31.53,   0.06,   1.00,   0.30,  10.70,   9.93, 470.65,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
208,  0,   0.00,   0.00,   0.00, 651.04, 295.53,   0.00,   5.61,   4.19,   0.00,  70.68,   0.00,   0.00,   0.00,   0.00,-574.33,-212.97,   0.00,  23.20,  69.70,   0.00,   7.96,   0.95, 0.0021, 0.0244,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.52, -59.21,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3673.04,14692.16, 661.15,   0.00,   0.00, -73.46,-17630.59,   0.00,  22.08,  32.08,   0.06,   1.00,   0.30,  10.67,   9.91, 470.61,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
209,  0,   0.00,   0.00,   0.00, 650.52, 292.14,   0.00,   5.50,   4.13,   0.00,  66.81,   0.00,   0.00,   0.00,   0.00,-573.35,-218.21,   0.00,  23.00,  68.90,   0.00,   7.76,   0.92, 0.0021, 0.0238,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.40, -58.56,   0.00,   0.00,   3.00,   0.09,   0.00,  -3.09,   0.00,   0.00,3669.94,14679.76, 660.59,   0.00,   0.00, -73.40,-17615.71,   0.00,  21.81,  31.81,   0.06,   1.00,   0.30,  10.68,   9.91, 470.58,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
210,  0,   0.00,   0.00,   0.00, 644.96, 294.26,   0.00,   5.60,   4.21,   0.00,  72.57,   0.00,   0.00,   0.00,   0.00,-569.22,-206.80,   0.00,  23.10,  69.40,   0.00,   7.97,   0.94, 0.0021, 0.0245,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.37, -58.95,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3638.64,14554.56, 654.96,   0.00,   0.00, -72.77,-17465.47,   0.00,  22.22,  32.22,   0.06,   1.00,   0.30,  10.67,   9.90, 470.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
211,  0,   0.00,   0.00,   0.00, 644.48, 290.86,   0.00,   5.30,   3.86,   0.00,  52.01,   0.00,   0.00,   0.00,   0.00,-568.46,-246.92,   0.00,  22.90,  68.60,   0.00,   7.29,   0.88, 0.0020, 0.0220,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.73, -58.36,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3635.88,14543.52, 654.46,   0.00,   0.00, -72.72,-17452.22,   0.00,  20.56,  30.56,   0.06,   1.00,   0.30,  10.71,   9.94, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
212,  0,   0.00,   0.00,   0.00, 645.08, 295.53,   0.00,   5.39,   3.83,   0.00,  50.67,   0.00,   0.00,   0.00,   0.00,-569.79,-253.58,   0.00,  23.20,  69.70,   0.00,   7.36,   0.89, 0.0020, 0.0222,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.12, -59.29,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3639.34,14557.36, 655.08,   0.00,   0.00, -72.79,-17468.83,   0.00,  20.42,  30.42,   0.06,   1.00,   0.30,  10.72,   9.95, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
213,  0,   0.00,   0.00,   0.00, 644.44, 291.71,   0.00,   5.43,   4.04,   0.00,  61.50,   0.00,   0.00,   0.00,   0.00,-568.47,-227.72,   0.00,  22.90,  68.80,   0.00,   7.60,   0.91, 0.0021, 0.0232,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.46, -58.48,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3635.78,14543.12, 654.44,   0.00,   0.00, -72.72,-17451.74,   0.00,  21.39,  31.39,   0.06,   1.00,   0.30,  10.69,   9.92, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
214,  0,   0.00,   0.00,   0.00, 652.16, 299.34,   0.00,   5.60,   4.04,   0.00,  61.55,   0.00,   0.00,   0.00,   0.00,-576.00,-235.27,   0.00,  23.50,  70.60,   0.00,   7.81,   0.94, 0.0021, 0.0238,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.09, -60.01,   0.00,   0.00,   3.01,   0.09,   0.00,  -3.10,   0.00,   0.00,3679.36,14717.44, 662.28,   0.00,   0.00, -73.59,-17660.93,   0.00,  21.39,  31.39,   0.06,   1.00,   0.30,  10.70,   9.93, 470.65,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
215,  0,   0.00,   0.00,   0.00, 651.72, 295.95,   0.00,   5.32,   3.70,   0.00,  45.28,   0.00,   0.00,   0.00,   0.00,-575.26,-266.57,   0.00,  23.30,  69.80,   0.00,   7.17,   0.87, 0.0020, 0.0215,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.41, -59.41,   0.00,   0.00,   3.01,   0.09,   0.00,  -3.10,   0.00,   0.00,3676.68,14706.72, 661.80,   0.00,   0.00, -73.53,-17648.06,   0.00,  19.86,  29.86,   0.06,   1.00,   0.30,  10.74,   9.97, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
216,  0,   0.00,   0.00,   0.00, 645.04, 290.44,   0.00,   5.21,   3.73,   0.00,  46.48,   0.00,   0.00,   0.00,   0.00,-568.91,-258.30,   0.00,  22.80,  68.50,   0.00,   7.08,   0.86, 0.0020, 0.0213,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.84, -58.29,   0.00,   0.00,   2.97,   0.09,   0.00,  -3.06,   0.00,   0.00,3639.18,14556.72, 655.05,   0.00,   0.00, -72.78,-17468.06,   0.00,  20.00,  30.00,   0.06,   1.00,   0.30,  10.72,   9.96, 470.59,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
217,  0,   0.00,   0.00,   0.00, 646.16, 295.10,   0.00,   5.44,   3.92,   0.00,  55.08,   0.00,   0.00,   0.00,   0.00,-570.52,-244.21,   0.00,  23.20,  69.60,   0.00,   7.50,   0.90, 0.0021, 0.0227,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.96, -59.19,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3645.46,14581.84, 656.18,   0.00,   0.00, -72.91,-17498.21,   0.00,  20.83,  30.83,   0.06,   1.00,   0.30,  10.71,   9.94, 470.63,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
218,  0,   0.00,   0.00,   0.00, 645.48, 291.29,   0.00,   5.33,   3.89,   0.00,  53.50,   0.00,   0.00,   0.00,   0.00,-569.32,-244.33,   0.00,  22.90,  68.70,   0.00,   7.35,   0.88, 0.0020, 0.0223,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.69, -58.43,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3641.60,14566.40, 655.49,   0.00,   0.00, -72.83,-17479.68,   0.00,  20.69,  30.69,   0.06,   1.00,   0.30,  10.71,   9.94, 470.60,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
219,  0,   0.00,   0.00,   0.00, 646.60, 295.95,   0.00,   5.55,   4.07,   0.00,  63.31,   0.00,   0.00,   0.00,   0.00,-570.93,-227.78,   0.00,  23.30,  69.80,   0.00,   7.77,   0.93, 0.0021, 0.0237,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -24.81, -59.33,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3647.94,14591.76, 656.63,   0.00,   0.00, -72.96,-17510.11,   0.00,  21.53,  31.53,   0.06,   1.00,   0.30,  10.69,   9.92, 470.64,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
220,  0,   0.00,   0.00,   0.00, 645.60, 292.56,   0.00,   5.26,   3.69,   0.00,  45.20,   0.00,   0.00,   0.00,   0.00,-569.80,-262.80,   0.00,  23.00,  69.00,   0.00,   5.13,   0.86, 0.0024, 0.0213,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -27.05, -58.73,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3642.18,14568.72,   0.00,   0.00,   0.00,-728.44,-17482.46,   0.00,  19.86,  29.86,   0.59,   1.00,   0.30,   9.73,   9.96, 206.09,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
221,  0,   0.00,   0.00,   0.00, 653.76, 300.62,   0.00,   5.29,   3.46,   0.00,  37.14,   0.00,   0.00,   0.00,   0.00,-577.88,-287.91,   0.00,  23.60,  70.90,   0.00,   6.23,   0.85, 0.0021, 0.0205,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -26.81, -60.38,   0.00,   0.00,   3.02,   0.09,   0.00,  -3.11,   0.00,   0.00,3688.26,14753.04, 459.10,   0.00,   0.00,-278.55,-17703.65,   0.00,  18.89,  28.89,   0.22,   1.00,   0.30,  10.19,  10.00, 389.18,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
222,  0,   0.00,   0.00,   0.00, 646.52, 293.83,   0.00,   5.25,   3.66,   0.00,  43.95,   0.00,   0.00,   0.00,   0.00,-570.74,-266.65,   0.00,  23.10,  69.30,   0.00,   7.07,   0.86, 0.0020, 0.0212,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.25, -58.99,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3647.42,14589.68, 656.54,   0.00,   0.00, -72.95,-17507.62,   0.00,  19.72,  29.72,   0.06,   1.00,   0.30,  10.74,   9.97, 470.62,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
223,  0,   0.00,   0.00,   0.00, 645.80, 290.02,   0.00,   5.07,   3.49,   0.00,  38.13,   0.00,   0.00,   0.00,   0.00,-569.58,-275.75,   0.00,  22.80,  68.40,   0.00,   6.73,   0.82, 0.0019, 0.0200,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, -25.17, -58.26,   0.00,   0.00,   2.98,   0.09,   0.00,  -3.07,   0.00,   0.00,3643.44,14573.76, 655.82,   0.00,   0.00, -72.87,-17488.51,   0.00,  19.03,  29.03,   0.06,   1.00,   0.30,  10.75,   9.98, 470.58,-300.00,   0.00,   0.00,   0.00,   0.00,   0.00
