Daily climate at site boone2 in year 1
Day,Temp.(C),Prec.(mm),WindSpeed(m/s),Radiation(MJ/m2/d),Humidity(),PET(mm),Actual_ET(mm),Evaporation(mm),Transpiration(mm)
 287,   11.25,    0.00,    2.00,   14.19,   60.00,    2.02,    2.00,    2.00,    0.00
 288,   13.25,   37.00,    2.00,    7.36,   60.00,    1.26,    1.25,    1.25,    0.00
 289,   11.00,    0.00,    2.00,   11.92,   60.00,    1.66,    1.65,    1.65,    0.00
 290,    9.00,    0.00,    2.00,   12.59,   60.00,    1.63,    1.62,    1.62,    0.00
 291,    8.25,    2.00,    2.00,   10.84,   60.00,    1.36,    1.35,    1.35,    0.00
 292,    4.75,    0.00,    2.00,   10.84,   60.00,    1.18,    1.17,    1.17,    0.00
 293,    4.25,    0.00,    2.00,   12.72,   60.00,    1.37,    1.36,    1.36,    0.00
 294,   10.75,    1.00,    2.00,   13.12,   60.00,    1.88,    1.86,    1.86,    0.00
 295,    9.50,    1.00,    2.00,   11.25,   60.00,    1.51,    1.50,    1.50,    0.00
 296,    3.00,    3.00,    2.00,    3.61,   60.00,    0.50,    0.48,    0.48,    0.00
 297,    2.75,    0.00,    2.00,    9.64,   60.00,    0.98,    0.96,    0.96,    0.00
 298,    4.25,    0.00,    2.00,   13.39,   60.00,    1.52,    1.50,    1.50,    0.00
 299,   10.50,    0.00,    2.00,   10.71,   60.00,    1.52,    1.35,    1.35,    0.00
 300,   15.75,   22.00,    2.00,    4.28,   60.00,    0.99,    0.97,    0.97,    0.00
 301,   12.25,    6.00,    2.00,    6.96,   60.00,    1.20,    0.93,    0.93,    0.00
 302,   14.00,   39.00,    2.00,    7.63,   60.00,    1.40,    0.88,    0.88,    0.00
 303,   10.75,    0.00,    2.00,   10.58,   60.00,    1.53,    0.84,    0.84,    0.00
 304,   10.00,    0.00,    2.00,   12.32,   60.00,    1.82,    0.89,    0.89,    0.00
 305,   15.75,    0.00,    2.00,   11.25,   60.00,    2.03,    0.92,    0.92,    0.00
 306,   15.25,    1.00,    2.00,    9.24,   60.00,    1.63,    0.69,    0.69,    0.00
 307,   14.00,    4.00,    2.00,    5.62,   60.00,    1.11,    0.43,    0.43,    0.00
 308,   10.75,    1.00,    2.00,    8.17,   60.00,    1.23,    0.46,    0.46,    0.00
 309,    6.25,   10.00,    2.00,    4.95,   60.00,    0.72,    0.25,    0.25,    0.00
 310,    9.25,    0.00,    2.00,    6.56,   60.00,    0.97,    0.33,    0.33,    0.00
 311,    9.50,    0.00,    2.00,    7.10,   60.00,    1.04,    0.35,    0.35,    0.00
 312,    4.75,    0.00,    2.00,    9.91,   60.00,    1.13,    0.37,    0.37,    0.00
 313,   -1.50,    0.00,    2.00,   10.71,   60.00,    0.93,    0.26,    0.26,    0.00
 314,    0.25,    0.00,    2.00,   11.51,   60.00,    1.13,    0.31,    0.31,    0.00
 315,    1.75,    3.00,    2.00,    8.17,   60.00,    0.95,    0.27,    0.27,    0.00
 316,    7.25,    3.00,    2.00,    5.36,   60.00,    0.81,    0.23,    0.23,    0.00
 317,    9.25,    4.00,    2.00,    6.43,   60.00,    1.02,    0.29,    0.29,    0.00
 318,    3.25,    0.00,    2.00,    7.36,   60.00,    0.82,    0.22,    0.22,    0.00
 319,    1.50,    0.00,    2.00,    7.77,   60.00,    0.79,    0.21,    0.21,    0.00
 320,    2.00,    0.00,    2.00,    9.91,   60.00,    1.04,    0.25,    0.25,    0.00
 321,    3.00,    0.00,    2.00,    8.17,   60.00,    0.90,    0.20,    0.20,    0.00
 322,    4.25,    0.00,    2.00,    9.51,   60.00,    1.11,    0.25,    0.25,    0.00
 323,    8.00,    0.00,    2.00,    9.37,   60.00,    1.29,    0.28,    0.28,    0.00
 324,   11.00,    9.00,    2.00,    6.16,   60.00,    1.08,    0.29,    0.29,    0.00
 325,    7.25,    9.00,    2.00,    4.55,   60.00,    0.72,    0.19,    0.19,    0.00
 326,    6.00,    0.00,    2.00,    8.84,   60.00,    1.12,    0.30,    0.30,    0.00
 327,    4.75,    0.00,    2.00,    9.37,   60.00,    1.15,    0.30,    0.30,    0.00
 328,    4.25,    0.00,    2.00,    9.64,   60.00,    1.17,    0.30,    0.30,    0.00
 329,    4.25,    4.00,    2.00,    6.29,   60.00,    0.84,    0.21,    0.21,    0.00
 330,    1.75,    0.00,    2.00,    8.84,   60.00,    0.95,    0.24,    0.24,    0.00
 331,    4.25,    0.00,    2.00,    8.17,   60.00,    0.98,    0.24,    0.24,    0.00
 332,    8.50,    9.00,    2.00,    6.43,   60.00,    1.06,    0.27,    0.27,    0.00
 333,   10.00,    7.00,    2.00,    6.69,   60.00,    1.22,    0.32,    0.32,    0.00
 334,    4.75,    0.00,    2.00,    5.62,   60.00,    0.73,    0.18,    0.18,    0.00
 335,    5.00,    0.00,    2.00,    7.36,   60.00,    0.92,    0.23,    0.23,    0.00
 336,   -1.50,    0.00,    2.00,    8.43,   60.00,    0.78,    0.19,    0.19,    0.00
 337,   -5.75,    0.00,    2.00,    7.77,   60.00,    0.57,    0.13,    0.13,    0.00
 338,   -4.75,    0.00,    2.00,    8.17,   60.00,    0.64,    0.00,    0.00,    0.00
 339,   -5.25,    1.00,    2.00,    8.43,   60.00,    0.65,    0.65,    0.65,    0.00
 340,   -4.50,   29.00,    2.00,    4.42,   60.00,    0.33,    0.33,    0.33,    0.00
 341,   -3.25,   18.00,    2.00,    2.41,   60.00,    0.22,    0.22,    0.22,    0.00
 342,   -3.00,    0.00,    2.00,    6.56,   60.00,    0.37,    0.37,    0.37,    0.00
 343,   -5.25,    0.00,    2.00,    9.51,   60.00,    0.54,    0.54,    0.54,    0.00
 344,   -1.25,    0.00,    2.00,    8.30,   60.00,    0.52,    0.52,    0.52,    0.00
 345,    5.50,   23.00,    2.00,    4.69,   60.00,    0.51,    0.51,    0.51,    0.00
 346,    3.50,    0.00,    2.00,    6.96,   60.00,    0.56,    0.56,    0.56,    0.00
 347,   -3.25,    0.00,    2.00,    7.36,   60.00,    0.43,    0.43,    0.43,    0.00
 348,   -5.25,   23.00,    2.00,    6.16,   60.00,    0.33,    0.33,    0.33,    0.00
 349,   -0.75,   33.00,    2.00,    4.95,   60.00,    0.28,    0.28,    0.28,    0.00
 350,   -1.00,    0.00,    2.00,    7.50,   60.00,    0.32,    0.32,    0.32,    0.00
 351,    2.75,   13.00,    2.00,    6.69,   60.00,    0.54,    0.54,    0.54,    0.00
 352,    4.00,    0.00,    2.00,    7.23,   60.00,    0.41,    0.41,    0.41,    0.00
 353,    0.25,    0.00,    2.00,    6.56,   60.00,    0.31,    0.31,    0.31,    0.00
 354,   -0.50,    0.00,    2.00,    6.96,   60.00,    0.31,    0.31,    0.31,    0.00
 355,   -3.00,    0.00,    2.00,    7.50,   60.00,    0.30,    0.30,    0.30,    0.00
 356,    1.75,    0.00,    2.00,    7.63,   60.00,    0.39,    0.39,    0.39,    0.00
 357,    5.50,    0.00,    2.00,    7.77,   60.00,    0.47,    0.47,    0.47,    0.00
 358,    8.25,   10.00,    2.00,    5.49,   60.00,    0.51,    0.51,    0.51,    0.00
 359,    7.75,    5.00,    2.00,    5.49,   60.00,    0.50,    0.50,    0.50,    0.00
 360,    2.50,    0.00,    2.00,    5.09,   60.00,    0.31,    0.31,    0.31,    0.00
 361,    2.50,    0.00,    2.00,    6.96,   60.00,    0.38,    0.38,    0.38,    0.00
 362,    2.50,    0.00,    2.00,    9.24,   60.00,    0.59,    0.59,    0.59,    0.00
 363,    5.00,    0.00,    2.00,    9.37,   60.00,    0.70,    0.70,    0.70,    0.00
 364,    7.00,    0.00,    2.00,    8.17,   60.00,    0.57,    0.57,    0.57,    0.00
 365,    4.75,    0.00,    2.00,    6.56,   60.00,    0.41,    0.41,    0.41,    0.00
