Daily lagoon/slurry C and N dynamics at FarmTest1 in year 1
Unit: per lagoon

Day,T_air,T_1cm,T_20cm,T_40cm,T_60cm,T_80cm,CO2-flux,CH4-flux,MOC-pool,DOC-pool,Removed_C,NH3-flux,N2O-flux,NO-flux,N2-flux,MON-pool,Urea-pool,NH4-pool,NO3-pool,NH3-pool,NO2-pool,NO-pool,N2O-pool,N2-pool,Removed_N,Evaporation,Water-pool,Removed_water,Lagoon_P,Removed_P,Crust-C
 84,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.9334,29571.78,19669.66,   0.00,46.2460,0.05481,0.00000,0.62541, 288.61,   0.00, 571.60, 225.82, 416.21,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2368798.98,   0.00,   0.00,   0.00,   0.00
 85,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 1.9783,29921.89,19890.43,   0.00,46.1003,0.06747,0.00000,0.74310, 293.23,   0.00, 569.49, 234.02, 414.90,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2392310.91,   0.00,   0.00,   0.00,   0.00
 86,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.0227,30260.97,20100.33,   0.00,45.9164,0.08975,0.00000,0.94588, 297.79,   0.00, 566.91, 242.22, 413.25,   0.00,   0.00,   0.00,   0.00,   0.00,2939.26,2406864.48,   0.00,   0.00,   0.00,   0.00
 87,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.0681,30605.11,20315.04,   0.00,45.7958,0.08852,0.00000,0.94023, 302.43,   0.00, 565.10, 250.77, 412.16,   0.00,   0.00,   0.00,   0.00,   0.00,2461.28,2446325.80,   0.00,   0.00,   0.00,   0.00
 88,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.1147,30957.06,20536.39,   0.00,45.6881,0.06707,0.00000,0.75571, 307.07,   0.00, 563.44, 259.86, 411.19,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2496410.25,   0.00,   0.00,   0.00,   0.00
 89,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.1626,31317.64,20766.13,   0.00,45.5631,0.04793,0.00000,0.59087, 311.79,   0.00, 561.57, 269.51, 410.07,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2514125.71,   0.00,   0.00,   0.00,   0.00
 90,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.2103,31668.36,20987.46,   0.00,45.3745,0.06158,0.00000,0.71958, 316.39,   0.00, 558.91, 279.25, 408.37,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2531644.56,   0.00,   0.00,   0.00,   0.00
 91,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.2571,32007.58,21197.07,   0.00,45.2753,0.10661,0.00000,1.12487, 321.07,   0.00, 557.35, 288.83, 407.48,   0.00,   0.00,   0.00,   0.00,   0.00,5238.37,2632356.33,   0.00,   0.00,   0.00,   0.00
 92,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.3027,32330.25,21390.25,   0.00,45.0740,0.12560,0.00000,1.29936, 325.69,   0.00, 554.53, 298.47, 405.67,   0.00,   0.00,   0.00,   0.00,   0.00,9111.87,2641977.33,   0.00,   0.00,   0.00,   0.00
 93,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.3513,32676.19,21606.81,   0.00,44.8460,0.07205,0.00000,0.83224, 330.25,   0.00, 551.38, 308.97, 403.61,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2659495.02,   0.00,   0.00,   0.00,   0.00
 94,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.4000,33018.76,21819.78,   0.00,44.6538,0.09512,0.00000,1.04385, 334.89,   0.00, 548.67, 319.56, 401.88,   0.00,   0.00,   0.00,   0.00,   0.00,3178.11,2673864.27,   0.00,   0.00,   0.00,   0.00
 95,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.4490,33360.07,22030.42,   0.00,44.4711,0.09799,0.00000,1.07657, 339.51,   0.00, 546.07, 330.42, 400.24,   0.00,   0.00,   0.00,   0.00,   0.00,3681.52,2713476.70,   0.00,   0.00,   0.00,   0.00
 96,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.4981,33696.98,22237.65,   0.00,44.2744,0.10912,0.00000,1.18259, 344.17,   0.00, 543.29, 341.48, 398.47,   0.00,   0.00,   0.00,   0.00,   0.00,5506.56,2726728.35,   0.00,   0.00,   0.00,   0.00
 97,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.5470,34028.60,22439.69,   0.00,44.0461,0.11259,0.00000,1.22117, 348.77,   0.00, 540.13, 352.78, 396.41,   0.00,   0.00,   0.00,   0.00,   0.00,6312.23,2737960.60,   0.00,   0.00,   0.00,   0.00
 98,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.5959,34355.77,22637.04,   0.00,43.8539,0.12778,0.00000,1.36332, 353.45,   0.00, 537.40, 364.25, 394.68,   0.00,   0.00,   0.00,   0.00,   0.00,8823.57,2746712.61,   0.00,   0.00,   0.00,   0.00
 99,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.6440,34671.79,22823.36,   0.00,43.6293,0.13663,0.00000,1.45133, 358.09,   0.00, 534.28, 375.91, 392.66,   0.00,   0.00,   0.00,   0.00,   0.00,10846.70,2753428.35,   0.00,   0.00,   0.00,   0.00
100,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.6900,34965.93,22987.92,   0.00,43.3671,0.15183,0.00000,1.59677, 362.65,   0.00, 530.70, 387.66, 390.30,   0.00,   0.00,   0.00,   0.00,   0.00,14454.80,2756517.64,   0.00,   0.00,   0.00,   0.00
101,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.7134,35296.02,23188.22,   0.00,43.1458,0.12022,0.00000,1.32445, 367.29,   0.00, 527.95, 399.77, 388.31,   0.00,   0.00,   0.00,   0.00,   0.00,7412.60,2766678.60,   0.00,   0.00,   0.00,   0.00
102,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.7367,35625.10,23387.63,   0.00,42.9664,0.11614,0.00000,1.30003, 371.89,   0.00, 525.73, 411.88, 386.70,   0.00,   0.00,   0.00,   0.00,   0.00,6864.26,2831371.11,   0.00,   0.00,   0.00,   0.00
103,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.7590,35945.28,23578.02,   0.00,42.7750,0.13500,0.00000,1.47937, 376.55,   0.00, 523.36, 423.77, 384.97,   0.00,   0.00,   0.00,   0.00,   0.00,10267.22,2855877.47,   0.00,   0.00,   0.00,   0.00
104,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.7838,36286.46,23789.52,   0.00,42.5698,0.09502,0.00000,1.13648, 381.17,   0.00, 520.83, 436.04, 383.13,   0.00,   0.00,   0.00,   0.00,   0.00,2939.26,2871698.24,   0.00,   0.00,   0.00,   0.00
105,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.8087,36629.36,24002.50,   0.00,42.4153,0.10228,0.00000,1.21243, 385.87,   0.00, 518.92, 448.24, 381.74,   0.00,   0.00,   0.00,   0.00,   0.00,3937.01,2885352.46,   0.00,   0.00,   0.00,   0.00
106,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.8331,36968.06,24211.39,   0.00,42.2356,0.10243,0.00000,1.22552, 390.49,   0.00, 516.70, 460.36, 380.12,   0.00,   0.00,   0.00,   0.00,   0.00,4194.86,2898732.51,   0.00,   0.00,   0.00,   0.00
107,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.8559,37292.28,24405.93,   0.00,42.0376,0.12123,0.00000,1.40317, 395.07,   0.00, 514.26, 472.20, 378.34,   0.00,   0.00,   0.00,   0.00,   0.00,7966.74,2908325.32,   0.00,   0.00,   0.00,   0.00
108,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.8765,37597.57,24582.54,   0.00,41.8691,0.14471,0.00000,1.62503, 399.69,   0.00, 512.19, 483.74, 376.82,   0.00,   0.00,   0.00,   0.00,   0.00,12632.53,2913115.55,   0.00,   0.00,   0.00,   0.00
109,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.8951,37886.40,24741.39,   0.00,41.7059,0.15849,0.00000,1.76016, 404.29,   0.00, 510.18, 495.08, 375.35,   0.00,   0.00,   0.00,   0.00,   0.00,15684.49,2915030.35,   0.00,   0.00,   0.00,   0.00
110,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.9115,38156.43,24881.31,   0.00,41.5875,0.17500,0.00000,1.91925, 408.97,   0.00, 508.72, 506.23, 374.29,   0.00,   0.00,   0.00,   0.00,   0.00,18823.08,2913823.46,   0.00,   0.00,   0.00,   0.00
111,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.9275,38423.34,25018.25,   0.00,41.4459,0.17289,0.00000,1.91138, 413.59,   0.00, 506.99, 517.34, 373.01,   0.00,   0.00,   0.00,   0.00,   0.00,18823.08,2912599.88,   0.00,   0.00,   0.00,   0.00
112,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.9456,38708.35,25173.04,   0.00,41.3493,0.16689,0.00000,1.86781, 418.29,   0.00, 505.80, 528.51, 372.14,   0.00,   0.00,   0.00,   0.00,   0.00,16927.95,2913302.42,   0.00,   0.00,   0.00,   0.00
113,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.9632,38988.44,25323.02,   0.00,41.2316,0.16648,0.00000,1.87520, 422.93,   0.00, 504.36, 539.63, 371.08,   0.00,   0.00,   0.00,   0.00,   0.00,17232.41,2913687.36,   0.00,   0.00,   0.00,   0.00
114,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 2.9805,39264.58,25470.49,   0.00,41.0744,0.16200,0.00000,1.84625, 427.47,   0.00, 502.43, 550.70, 369.67,   0.00,   0.00,   0.00,   0.00,   0.00,16927.95,2914181.49,   0.00,   0.00,   0.00,   0.00
115,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.0014,39572.09,25649.11,   0.00,40.9675,0.14359,0.00000,1.69121, 432.09,   0.00, 501.13, 561.98, 368.71,   0.00,   0.00,   0.00,   0.00,   0.00,12341.23,2919292.10,   0.00,   0.00,   0.00,   0.00
116,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.0218,39876.62,25823.68,   0.00,40.8568,0.14578,0.00000,1.72190, 436.69,   0.00, 499.77, 573.18, 367.71,   0.00,   0.00,   0.00,   0.00,   0.00,12935.62,2923953.09,   0.00,   0.00,   0.00,   0.00
117,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.0368,40135.52,25952.39,   0.00,40.8461,0.18031,0.00000,2.04283, 441.37,   0.00, 499.65, 584.00, 367.62,   0.00,   0.00,   0.00,   0.00,   0.00,20097.96,3053483.13,   0.00,   0.00,   0.00,   0.00
118,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.0570,40437.64,26124.42,   0.00,40.7493,0.14893,0.00000,1.77149, 445.99,   0.00, 498.47, 595.12, 366.74,   0.00,   0.00,   0.00,   0.00,   0.00,13533.88,3057563.43,   0.00,   0.00,   0.00,   0.00
119,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.0800,40764.39,26320.85,   0.00,40.7548,0.12991,0.00000,1.61081, 450.69,   0.00, 498.54, 606.48, 366.79,   0.00,   0.00,   0.00,   0.00,   0.00,9111.87,3138096.74,   0.00,   0.00,   0.00,   0.00
120,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.1039,41098.13,26525.60,   0.00,40.6600,0.10748,0.00000,1.42367, 455.29,   0.00, 497.39, 618.00, 365.94,   0.00,   0.00,   0.00,   0.00,   0.00,5228.83,3150334.63,   0.00,   0.00,   0.00,   0.00
121,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.1279,41431.56,26730.16,   0.00,40.5417,0.10060,0.00000,1.37425, 459.83,   0.00, 495.95, 629.51, 364.88,   0.00,   0.00,   0.00,   0.00,   0.00,4194.86,3163587.96,   0.00,   0.00,   0.00,   0.00
122,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.1518,41765.20,26934.72,   0.00,40.4669,0.10921,0.00000,1.46150, 464.45,   0.00, 495.04, 640.93, 364.20,   0.00,   0.00,   0.00,   0.00,   0.00,5506.56,3177558.97,   0.00,   0.00,   0.00,   0.00
123,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.1745,42089.20,27128.54,   0.00,40.3891,0.12464,0.00000,1.60872, 469.05,   0.00, 494.10, 652.12, 363.50,   0.00,   0.00,   0.00,   0.00,   0.00,8536.59,3207848.65,   0.00,   0.00,   0.00,   0.00
124,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.1942,42387.94,27296.77,   0.00,40.3542,0.15655,0.00000,1.90611, 473.73,   0.00, 493.69, 662.96, 363.19,   0.00,   0.00,   0.00,   0.00,   0.00,14763.65,3231956.39,   0.00,   0.00,   0.00,   0.00
125,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.2174,42717.04,27495.55,   0.00,40.2944,0.11936,0.00000,1.58365, 478.35,   0.00, 492.97, 674.15, 362.65,   0.00,   0.00,   0.00,   0.00,   0.00,7412.60,3249388.48,   0.00,   0.00,   0.00,   0.00
126,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.2403,43041.95,27691.26,   0.00,40.2581,0.12751,0.00000,1.66665, 483.01,   0.00, 492.54, 685.23, 362.32,   0.00,   0.00,   0.00,   0.00,   0.00,8823.57,3258060.53,   0.00,   0.00,   0.00,   0.00
127,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.2612,43349.59,27869.80,   0.00,40.1902,0.14120,0.00000,1.80088, 487.61,   0.00, 491.72, 696.09, 361.71,   0.00,   0.00,   0.00,   0.00,   0.00,12029.44,3263509.14,   0.00,   0.00,   0.00,   0.00
128,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.2807,43645.02,28036.26,   0.00,40.0999,0.14797,0.00000,1.87274, 492.15,   0.00, 490.63, 706.78, 360.90,   0.00,   0.00,   0.00,   0.00,   0.00,13839.90,3278331.74,   0.00,   0.00,   0.00,   0.00
129,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.3031,43965.59,28227.65,   0.00,40.0568,0.12929,0.00000,1.71494, 496.77,   0.00, 490.12, 717.70, 360.51,   0.00,   0.00,   0.00,   0.00,   0.00,9401.46,3286422.15,   0.00,   0.00,   0.00,   0.00
130,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.3256,44288.53,28420.25,   0.00,40.0073,0.12593,0.00000,1.69559, 501.37,   0.00, 489.53, 728.60, 360.07,   0.00,   0.00,   0.00,   0.00,   0.00,8823.57,3295246.74,   0.00,   0.00,   0.00,   0.00
131,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.3479,44609.68,28610.71,   0.00,39.9974,0.13487,0.00000,1.78630, 506.05,   0.00, 489.42, 739.41, 359.98,   0.00,   0.00,   0.00,   0.00,   0.00,10267.22,3302673.57,   0.00,   0.00,   0.00,   0.00
132,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.3692,44920.43,28792.25,   0.00,39.9387,0.13643,0.00000,1.81137, 510.63,   0.00, 488.72, 750.10, 359.45,   0.00,   0.00,   0.00,   0.00,   0.00,11154.02,3309014.97,   0.00,   0.00,   0.00,   0.00
133,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.3905,45232.40,28974.78,   0.00,39.9206,0.14117,0.00000,1.86414, 515.29,   0.00, 488.52, 760.75, 359.29,   0.00,   0.00,   0.00,   0.00,   0.00,11729.47,3314811.35,   0.00,   0.00,   0.00,   0.00
134,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.4117,45542.92,29155.97,   0.00,39.8778,0.13830,0.00000,1.84911, 519.89,   0.00, 488.02, 771.36, 358.90,   0.00,   0.00,   0.00,   0.00,   0.00,11441.24,3320882.05,   0.00,   0.00,   0.00,   0.00
135,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.4312,45838.46,29322.28,   0.00,39.8112,0.14784,0.00000,1.94566, 524.43,   0.00, 487.22, 781.79, 358.30,   0.00,   0.00,   0.00,   0.00,   0.00,13839.90,3325739.30,   0.00,   0.00,   0.00,   0.00
136,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.4523,46148.64,29503.02,   0.00,39.7865,0.14022,0.00000,1.88712, 529.05,   0.00, 486.94, 792.30, 358.08,   0.00,   0.00,   0.00,   0.00,   0.00,11740.16,3341525.28,   0.00,   0.00,   0.00,   0.00
137,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.4757,46479.13,29702.51,   0.00,39.8284,0.12931,0.00000,1.79864, 533.79,   0.00, 487.47, 802.98, 358.46,   0.00,   0.00,   0.00,   0.00,   0.00,8823.57,3351637.71,   0.00,   0.00,   0.00,   0.00
138,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.4973,46793.83,29887.65,   0.00,39.8683,0.13830,0.00000,1.89032, 538.45,   0.00, 487.98, 813.50, 358.82,   0.00,   0.00,   0.00,   0.00,   0.00,11143.41,3397638.01,   0.00,   0.00,   0.00,   0.00
139,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.5199,47115.97,30080.42,   0.00,39.8307,0.12412,0.00000,1.77344, 543.05,   0.00, 487.54, 824.10, 358.48,   0.00,   0.00,   0.00,   0.00,   0.00,8546.82,3416607.07,   0.00,   0.00,   0.00,   0.00
140,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.5436,47448.21,30283.07,   0.00,39.8369,0.11733,0.00000,1.72406, 547.73,   0.00, 487.64, 834.79, 358.53,   0.00,   0.00,   0.00,   0.00,   0.00,6864.26,3427289.59,   0.00,   0.00,   0.00,   0.00
141,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.5661,47770.04,30475.42,   0.00,39.8096,0.12578,0.00000,1.80929, 552.33,   0.00, 487.32, 845.31, 358.29,   0.00,   0.00,   0.00,   0.00,   0.00,8823.57,3435996.10,   0.00,   0.00,   0.00,   0.00
142,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.5886,48091.82,30667.88,   0.00,39.7552,0.12002,0.00000,1.76872, 556.87,   0.00, 486.68, 855.82, 357.80,   0.00,   0.00,   0.00,   0.00,   0.00,7966.74,3448739.47,   0.00,   0.00,   0.00,   0.00
143,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.6115,48416.46,30862.99,   0.00,39.7416,0.12320,0.00000,1.80717, 561.49,   0.00, 486.54, 866.29, 357.67,   0.00,   0.00,   0.00,   0.00,   0.00,8250.97,3487627.51,   0.00,   0.00,   0.00,   0.00
144,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.6334,48734.08,31050.67,   0.00,39.7719,0.13966,0.00000,1.96477, 566.19,   0.00, 486.93, 876.60, 357.95,   0.00,   0.00,   0.00,   0.00,   0.00,11143.41,3494078.31,   0.00,   0.00,   0.00,   0.00
145,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.6551,49048.92,31235.65,   0.00,39.7749,0.13819,0.00000,1.96198, 570.85,   0.00, 486.99, 886.86, 357.97,   0.00,   0.00,   0.00,   0.00,   0.00,11143.41,3500517.02,   0.00,   0.00,   0.00,   0.00
146,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.6753,49351.90,31408.91,   0.00,39.7483,0.14493,0.00000,2.03298, 575.45,   0.00, 486.69, 896.97, 357.73,   0.00,   0.00,   0.00,   0.00,   0.00,12935.62,3505146.04,   0.00,   0.00,   0.00,   0.00
147,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.6927,49629.94,31557.10,   0.00,39.7594,0.16831,0.00000,2.25279, 580.11,   0.00, 486.85, 906.83, 357.83,   0.00,   0.00,   0.00,   0.00,   0.00,17560.27,3505167.02,   0.00,   0.00,   0.00,   0.00
148,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.7127,49930.73,31728.14,   0.00,39.7456,0.14826,0.00000,2.08257, 584.73,   0.00, 486.70, 916.84, 357.71,   0.00,   0.00,   0.00,   0.00,   0.00,13533.88,3527600.47,   0.00,   0.00,   0.00,   0.00
149,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.7354,50254.30,31922.08,   0.00,39.7090,0.11885,0.00000,1.82916, 589.29,   0.00, 486.28, 927.12, 357.38,   0.00,   0.00,   0.00,   0.00,   0.00,7694.01,3537457.95,   0.00,   0.00,   0.00,   0.00
150,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.7562,50560.47,32099.75,   0.00,39.6907,0.14069,0.00000,2.03480, 593.89,   0.00, 486.08, 937.13, 357.22,   0.00,   0.00,   0.00,   0.00,   0.00,12040.17,3542818.17,   0.00,   0.00,   0.00,   0.00
151,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.7762,50861.33,32270.54,   0.00,39.7336,0.15551,0.00000,2.17734, 598.61,   0.00, 486.63, 947.01, 357.60,   0.00,   0.00,   0.00,   0.00,   0.00,14454.80,3545973.51,   0.00,   0.00,   0.00,   0.00
152,  21.39,   0.00,   0.00,   0.00,   0.00,   0.00, 0.0000, 3.7896,   0.00,   0.00,51106.32,39.7435,0.18466,0.00000,2.44951,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,2404.23,21384.36,   0.00,3547384.00,   0.00,   0.00,   0.00
153,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39, 0.2340, 0.0000, 296.71, 166.91,   0.00, 2.3086,0.14251,0.00000,1.26078,   4.59,   0.00,  28.86,   0.71,  20.78,   0.00,   0.00,   0.00,   0.00,   0.00,14763.65,4016.83,   0.00,   0.00,   0.00,   0.45
154,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39, 0.8371, 0.0000, 575.81, 316.17,   0.00, 4.5424,0.15890,0.00000,1.40819,   9.26,   0.00,  56.78,   1.28,  40.88,   0.00,   0.00,   0.00,   0.00,   0.00,17866.29,3747.62,   0.00,   0.00,   0.00,   1.31
155,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39, 1.7428, 0.0000, 858.08, 468.80,   0.00, 6.6441,0.15291,0.00000,1.35478,  13.85,   0.00,  83.05,   1.88,  59.80,   0.00,   0.00,   0.00,   0.00,   0.00,16927.95,4402.94,   0.00,   0.00,   0.00,   2.60
156,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39, 2.7766, 0.0000,1116.26, 598.86,   0.00, 8.5949,0.15917,0.00000,1.41189,  18.33,   0.00, 107.44,   2.36,  77.35,   0.00,   0.00,   0.00,   0.00,   0.00,19132.09,2668.83,   0.00,   0.00,   0.00,   4.28
157,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39, 3.9420, 0.0000,1366.00, 720.45,   0.00,10.4890,0.16735,0.00000,1.48547,  22.87,   0.00, 131.11,   2.79,  94.40,   0.00,   0.00,   0.00,   0.00,   0.00,20095.62,2000.00,   0.00,   0.00,   0.00,   6.33
158,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39, 4.7689, 0.0000,1539.54, 764.52,   0.00,12.3609,0.20302,0.00000,1.80607,  27.50,   0.00, 154.51,   2.86, 111.25,   0.00,   0.00,   0.00,   0.00,   0.00,19636.35,98400.01,   0.00,   0.00,   0.00,   8.65
159,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39, 5.5793, 0.0000,1711.64, 807.51,   0.00,14.1057,0.20073,0.00000,1.78585,  32.04,   0.00, 176.32,   2.94, 126.95,   0.00,   0.00,   0.00,   0.00,   0.00,27646.93,88377.14,   0.00,   0.00,   0.00,  11.23
160,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39, 6.3946, 0.0000,1885.36, 852.49,   0.00,15.7416,0.19564,0.00000,1.74044,  36.50,   0.00, 196.77,   3.05, 141.67,   0.00,   0.00,   0.00,   0.00,   0.00,26972.23,83015.73,   0.00,   0.00,   0.00,  14.06
161,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39, 7.1996, 0.0000,2056.10, 894.70,   0.00,17.3345,0.21564,0.00000,1.92022,  41.00,   0.00, 216.68,   3.04, 156.01,   0.00,   0.00,   0.00,   0.00,   0.00,31017.80,69625.45,   0.00,   0.00,   0.00,  17.16
162,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39, 8.2213, 0.0000,2252.30, 964.16,   0.00,18.8052,0.18620,0.00000,1.65591,  45.37,   0.00, 235.06,   3.25, 169.25,   0.00,   0.00,   0.00,   0.00,   0.00,24974.45,92481.44,   0.00,   0.00,   0.00,  20.55
163,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39, 9.6059, 0.0000,2487.20,1072.81,   0.00,20.1816,0.16764,0.00000,1.48942,  49.63,   0.00, 252.27,   3.63, 181.63,   0.00,   0.00,   0.00,   0.00,   0.00,21058.81,88837.13,   0.00,   0.00,   0.00,  24.29
164,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39,11.3229, 0.0000,2751.18,1210.74,   0.00,21.5311,0.15642,0.00000,1.38843,  53.94,   0.00, 269.14,   4.18, 193.78,   0.00,   0.00,   0.00,   0.00,   0.00,17866.29,88414.22,   0.00,   0.00,   0.00,  28.44
165,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39,12.8437, 0.0000,2988.22,1320.53,   0.00,22.8778,0.17791,0.00000,1.58160,  58.32,   0.00, 285.97,   4.55, 205.90,   0.00,   0.00,   0.00,   0.00,   0.00,21710.62,84368.66,   0.00,   0.00,   0.00,  32.94
166,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39,14.1483, 0.0000,3200.48,1406.09,   0.00,24.1331,0.18435,0.00000,1.64004,  62.61,   0.00, 301.66,   4.82, 217.20,   0.00,   0.00,   0.00,   0.00,   0.00,23658.85,78363.83,   0.00,   0.00,   0.00,  37.76
167,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39,15.5295, 0.0000,3419.09,1498.61,   0.00,25.2995,0.17782,0.00000,1.58188,  66.80,   0.00, 316.24,   5.13, 227.70,   0.00,   0.00,   0.00,   0.00,   0.00,22681.78,75317.73,   0.00,   0.00,   0.00,  42.91
168,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39,17.2016, 0.0000,3661.68,1616.70,   0.00,26.4508,0.16788,0.00000,1.49255,  70.95,   0.00, 330.64,   5.58, 238.06,   0.00,   0.00,   0.00,   0.00,   0.00,20097.96,122305.79,   0.00,   0.00,   0.00,  48.43
169,  21.39,  21.39,  21.39,  21.39,  21.39,  21.39,19.1881, 0.0000,3930.83,1761.98,   0.00,27.5009,0.14787,0.00000,1.31326,  75.01,   0.00, 343.76,   6.22, 247.51,   0.00,   0.00,   0.00,   0.00,   0.00,15996.89,124981.18,   0.00,   0.00,   0.00,  54.36
